,title,date,summary,prefix,media,body,author
36,Grossi asumió al frente de la OIEA,2019-12-03,,El argentino conducirá la agencia nuclear más importante del mundo,<Response [200]>,"El argentino Rafael Grossi asumió este lunes en Viena como nuevo director general de la Organización Internacional de Energía Atómica (OIEA), la agencia nuclear más importante del mundo. El diplomático, quien hasta ahora se desempeñaba como embajador en Austria, ocupará el cargo por cuatro años en reemplazo de Yukiya Amano, quien falleció el 18 de julio. Será el primer latinoamericano en ostentar el puesto. ""Juro regular mi conducta sólo con el interés del OIEA y no con instrucciones de ningún gobierno o autoridad externa al organismo"", aseguró el experto. Entre los temas clave que tendrá por delante sobresalen la negociación que con Irán y los desafíos que plantea Corea del Norte, como relevó el propio Grossi a PáginaI12 el 18 de noviembre
. Durante su asunción, en la sala de convenciones de la OIEA sonó Adiós Nonino, de Astor Piazzola, bajo la dirección del argentino Rubén Dubrovsky, fundador del Bach Consort de Viena.",
37,La fiscalía nacional pide impulsar la acción penal contra el senador José Alperovich ,2019-12-04,"“Los hechos denunciados tienen color de delito, describen un delito”, explicaron a este diario fuentes de la investigación.",También requirió que la justicia tucumana sea declarada incompetente,<Response [200]>,"La fiscalía porteña que días atrás recibió la declaración 
de la joven que denunció por abuso sexual al senador tucumano José Alperovich pidió impulsar la acción penal y requirió que la justicia de Tucumán se declare incompetente, para que la causa se tramite en la justicia nacional y en un único expediente. “Los hechos denunciados tienen color de delito, describen un delito”, explicaron a este diario fuentes de la investigación.

La Fiscalía Nacional en lo Criminal y Correccional N°10 de la Capital Federal, a cargo del fiscal Santiago Vismara, y la Unidad Fiscal Especializada de Violencia contra las Mujeres (UFEM), a cargo de Mariela Labozzetta, elevaron “un requerimiento de instrucción para impulsar la acción penal” contra Alperovich “por delitos contra la integridad sexual de una sobrina segunda”, informó en un comunicado el Ministerio Público Fiscal (MPF). Además, el organismo pidió que el juzgado tucumano donde la joven radicó y ratificó también la denuncia se declare incompetente, de modo que la actuación radicada en la provincia “sea remitida por su conexidad con la causa que tramita en la justicia nacional”. 

En diálogo con este diario, fuentes del MPF explicaron que el impulso de la acción penal implica “que hay hechos que merecen ser investigados”, una conclusión a la que ambas fiscalías radicadas en la Ciudad de Buenos Aires llegaron “a partir del contenido de la declaración” de la joven, que acusa al ex gobernador tucumano de haber abusado sexualmente de ella en más de una oportunidad.

La joven radicó y ratificó su denuncia en San Miguel de Tucumán 
y en la Ciudad de Buenos Aires porque, explicó, los hechos tuvieron lugar en ambos distritos. En la causa tucumana, la carátula confirmada días atrás es por “abuso sexual con acceso carnal”. El pedido del MPF radicado en Buenos Aires es, explicaron fuentes de la fiscalía, obedece a tres motivos: en primer lugar, “la conexidad entre ambas causas es indudable”; además, “la idea es que no haya dos causas en paralelo, porque eso duplica intervenciones y sobreexpone innecesariamente a la víctima”. En tercer lugar, Buenos Aires “es el lugar donde tiene lugar el primer hecho, es donde arranca el abuso que después se repite en Tucumán”.




El MPF intervino en la causa luego de que la joven radicara la denuncia en la Ufem. Días atrás, la sobrina del senador –ahora de licencia
- declaró durante cerca de cuatro horas, tras lo cual la fiscalía “ordenó una consigna policial a los fines de resguardar la seguridad de la denunciante”. En Buenos Aires, la causa tramita en el Juzgado Nacional en lo Criminal y Correccional 35, a cargo de Osvaldo Rappa. ",
38,Alerta por una posible violación en manada en Luján,2019-12-04,,Siete hombres habrían atacado sexualmente a una joven de 17 años,<Response [200]>,"La justicia bonaerense investiga una presunta violación en manada que habría tenido por víctima a una joven de 17 años el domingo por la noche. La chica fue hallada en estado de shock, ensangrentada, desorientada, presumiblemente intoxicada y muy asustada en la céntrica Plaza Colón de Luján el domingo por la madrugada. Poco después, médicos del Hospital Municipal, donde permaneció algunas horas, establecieron que presentaba lesiones de gravedad compatibles con abuso sexual. 

La joven aún no declaró ante la Justicia. “Se están reuniendo elementos, se activó ya el protocolo de resguardo de materiales, de ropas, muestras, y también el protocolo habitual ante un posible abuso sexual, que fue algo que hizo el hospital. Hasta que ella no declare, no hay más elementos de momento para establecer si se trató de un abuso sexual o no”, señalaron fuentes de la investigación en diálogo con este diario.

De acuerdo con medios locales, la joven habría ido a bailar con una amiga el sábado por la noche; al salir de allí, la acompañó a la terminal de ómnibus y, luego, habría ido a una casa con un grupo de personas. Allí, aseguró el diario Luján Hoy
, terminarían los recuerdos de la chica. Según habría detallado ante los policías que la hallaron y llevaron al hospital, despertó en una casa con una amiga y siete varones a quienes no conocía.

Esta mañana, Lisandro Massón, titular de la Unidad Fiscal de Investigación Nº 4, de Mercedes, a cargo del caso, se trasladó a Luján a la espera de que el equipo técnico del Servicio de Asistencia a la Víctima del Departamento Judicial de Mercedes determine si la chica se encuentra en condiciones de brindar declaración.

 “Hay un cuerpo de instructores policiales de Luján trabajando en el caso. Están tratando de recabar testimonios mientras se esperan los resultados de la parte pericial”, señalaron las fuentes.

La investigación también está a la espera de los peritajes de las imágenes registradas por las cámaras de seguridad de la plaza donde fue hallada la joven y las zonas aledañas al lugar.




Anoche cientos de vecinas y vecinos de Luján manifestaron ante la sede municipal para reclamar justicia. “Si pueden tirar a una joven de 17 años ensangrentada en una plaza en Luján enfrente a la basílica, enfrente al municipio, a dos cuadras de la comisaría, a menos de la fiscalía, nos están diciendo ‘miren cómo podemos’. El patriarcado nos está diciendo miren cómo podemos. Y nosotros les vamos a decir miren cómo nos ponemos"", advirtió una de las activistas locales, María
Laura Razzari.",
39,El brote de sarampión ya dejó 60 muertos en Samoa,2019-12-04,La epidemia comenzó en octubre y se registraron 4052 casos en un país con una población de menos de 200.000 habitantes. El gobierno ordenó el cierre de todos los servicios públicos y negocios para realizar una campaña de vacunación puerta por puerta.,La mayoría son menores de cinco años  ,<Response [200]>,"El Gobierno de Samoa ordenó el cierre de todos los servicios públicos y negocios el jueves y viernes para realizar una campaña de vacunación puerta por puerta en todo el país contra el sarampión, que desde octubre ha causado 60 muertos, la mayoría menores de cinco años.

En Samoa, con una población de menos de 200.000 habitantes, se han registrado 4.052 casos de sarampión desde el inicio de este brote, 171 de los cuales se dieron en las últimas 24 horas. En respuesta a la epidemia, que ya llevó la declaración del estado de emergencia en noviembre, las autoridades decidieron parar toda actividad en el país durante los próximos dos días desde las 7 de la mañana hasta las 5 de la tarde para inmunizar a la población. ""Todos los sectores públicos y privados permanecerán cerrados (...) para garantizar una buena cobertura del plan de vacunación"", indicó el Gobierno en un comunicado. ""Se pide a la población que ate una bandera o pieza de ropa roja en frente de sus casas y cerca de la calle para indicar que los miembros de la familia no han sido vacunados. La señal roja facilitará a la identificación de los hogares a vacunar"", añadió la nota. Durante el paro quedará también restringida la circulación de vehículos, salvo los del sector público, fuerzas de seguridad o asistencia médica, se suspenderán los viajes entre las dos principales islas del país, Upolu y Savai'i, y se instará a la población a permanecer en casa. Desde 2017 el sarampión se ha propagado en todo el mundo, incluidos varios países del Pacífico Occidental, como Fiyi y Tonga, donde el último brote se registró en 2014, según la Organización Mundial de la Salud.

La bióloga Julieta Alcain, becaria del Conicet, explicó en su cuenta de Twitter por qué puede haberse provocado el brote de sarampión en Samoa, donde la vacunación bajó de abarcar al 71 por ciento de la población entre 2017 y 2018 a un bajísimo 31 por ciento.

Alcain reseña que en 2018 ocurrió algo que ""le dio una fuerza bestial al movimiento antivacunas en ese país"". Dos niños de menos de un año murieron tras recibir una dosis de la vacuna triple viral (sarampión, rubéola y paperas). Fue porque las enfermeras que prepararon las vacunas cometieron un error y utilizaron un medicamento vencido.

""La negligencia de dos personas no puede destruir un siglo de evidencia a favor de las vacunas"", remarca la bióloga.

",
40,Termina la peor década de la crisis climática,2019-12-03,La Organización Meteorológica Mundial presentó su informe anual en la Cumbre del Clima de Madrid y señaló a las emisiones de CO2 como principal detonante del cambio climático que sufre el planeta.,"Récord de altas temperaturas, deshielo y subida del nivel del mar",<Response [200]>,"El año 2019 cierra una década excepcional marcada por las altas temperaturas, el deshielo y la subida de los niveles del mar a unos niveles de récord. Así lo anunció este martes la Organización Meteorológica Mundial en la Cumbre del Clima de Madrid, que ha presentado su informe anual Estado del Clima Mundial. 

De hecho, según las estimaciones ofrecidas, este año podría ser ""el segundo o tercer"" más cálido de los registros, con un promedio global de temperaturas de 1,1ºC por encima del periodo preindustrial. Unas subidas de temperaturas que coinciden con una mayor concentración de partículas de dióxido de carbono en la atmósfera, alcanzando las 407,8 partes por millón en 2018 y aumentando en el siguiente año.

Por lo que se refiere a los océanos, el deshielo de los casquetes se ha acelerado, tal y como han detallado los expertos de la Organización Mundial de Meteorología, por lo que el nivel del mar ha incrementado notablemente desde 1993. Además, el océano ha actuado como una suerte de amortiguador de la contaminación, ya que absorbe buena parte del calor y del dióxido de carbono que el ser humano emite. Esta situación ha provocado que la temperatura del mar suba y, además, se haya vuelto un 26% más ácida respecto a los niveles preindustriales, lo cual termina afectando de manera negativa en la biodiversidad acuática. 

Así pues, septiembre de 2019 tuvo el segundo registro más bajo de las mediciones por satélite de la extensión de hielo marino. ""Si no tomamos medidas climáticas urgentes ahora, nos dirigimos a un aumento de la temperatura de más de 3°C para finales de siglo, con impactos cada vez más perjudiciales para el bienestar humano"", dijo el secretario general de la OMM, Petteri Taalas, que además advirtió de que ""no estamos cerca de alcanzar el objetivo del Acuerdo de París"".

Además, el informe de la OMM pone el foco en los fenómenos meteorológicos extremos, que evidencian la crisis climática con cada vez más frecuencia. Ese es el caso de las inundaciones y las olas de calor, que en el pasado sucedían cada cien años aproximadamente y en la actualidad se repiten varias veces al año. Buen ejemplo de ello son los países de se localizan en el Pacífico, desde Bahamas hasta Japón, en tanto que en el últimos años sufrieron los efectos devastadores de la crisis climática.

“Uno de los principales impactos del cambio climático son los patrones de lluvia más erráticos. Esto representa una amenaza para el rendimiento de los cultivos y, combinado con el aumento de la población, significará desafíos considerables para la seguridad alimentaria de los países vulnerables en el futuro "", añadió Salas.

Las olas de calor, que también se han convertido en hechos que se suceden con frecuencia, tiene efectos negativos en la salud humana. Tanto, que en 2018 se contabilizaron cerca de 220 millones de casos de personas vulnerables y mayores de 65 que tuvieron problemas por exponerse a este fenómeno meteorológico extremo.



Además, el cambio climático generado por el ser humano se ha convertido en un impulsor del hambre en el mundo que ha dejado a cerca de 820 millones de personas en situación de vulnerabilidad por no tener suficientes alimentos. Además, en el último año se registraron, según la OMM, 10 millones de nuevos desplazamientos por el clima, 7 millones de ellos provocados por fenómenos peligrosos como huracanes o inundaciones.

De Público, especial para Página/12",Alejandro Tena
41,"Los 70 años de la Organización de Estados Iberoamericanos para la Educación, la Ciencia y la Cultura ",2019-12-04,,Celebración en el CCK,<Response [200]>,"La Organización de Estados Iberoamericanos para la Educación, la Ciencia y la Cultura (OEI) celebró sus 70 años en la cúpula del CCK con la presencia de funcionarios, diplomáticos y referentes de la educación, la ciencia y la cultura. 

En la bienvenida, el secretario general de la OEI, Mariano Jabonero, expresó que “el mayor capital con el que cuenta la OEI es el humano porque no hay un proyecto de esta organización que se haga solo, siempre hay un ministerio ya sea a nivel nacional, provincial o municipal que esté detrás, es un gran trabajo de cooperación”.

 “Creer en la educación, sentirse educador, es ser valiente, perseverante y leal”, agregó. A continuación, el ministro de Educación, Alejandro Finocchiaro, reconoció a la OEI ""por su trabajo y compromiso continuo en todos estos años por una educación con mayor equidad y calidad, que brinda igualdad de posibilidades a todos los argentinos, por el encuentro intercultural de nuestros pueblos y por el desarrollo científico en Iberoamérica”. 

Pablo Avelluto, secretario nacional de Cultura; Estela de Carlotto, presidenta de Abuelas de Plaza de Mayo, Rosa Tarlovsky de Roisinblit, vicepresidenta de Abuelas de plaza de mayo, embajadores y destacados funcionarios participaron del encuentro.",
42,Otra muerte de un adolescente por un cuatriciclo,2019-12-04,Dos vehículos chocaron en un camino rural cerca de Río Segundo. Los heridos están internados. Tienen entre 13 y 17 años.,En Córdoba; hay otros tres chicos internados,<Response [200]>,"Un adolescente de 15 años murió por el choque entre dos cuatriciclos en un camino rural cerca de la localidad cordobesa de Río Segundo, mientras su acompañante y los dos ocupantes del otro vehículo --todos adolescentes-- permanecían internados en la tarde del martes con heridas de diferentes consideración.Todos los involucrados en el siniestro son menores de edad y conocidos entre sí, y según las investigaciones judiciales habrían colisionado mientras iban a alta velocidad, en un hecho que ocurrió en la tarde del lunes.El joven fallecido perdió la vida instantáneamente, informó a los medios Paula Demaría, secretaria fiscal del juzgado de menores de Río Segundo, mientras que los otros tres fueron trasladados a la Clínica Privada Vélez Sarfield de la capital provincial.Por su parte, Marisa Gesell, directora de la clínica, indicó lo siguiente en el parte médico: “Uno de ellos tiene 13 años, está internado en la terapia pediátrica, en estado estable con traumatismos múltiples. Los otros dos, uno de 15 años y otro de 17 años, están en terapia de adultos, en estado reservado”.

La circulación en cuatriciclos se volvió problemática a partir de que en las temporadas veraniegas los jóvenes comenzaron a utilizarlos para transitar por los médanos y playas, en especial en balnearios de Pinamar, Cariló y Villa Gesell.

Uno de lo casos más impactantes ocurrió en febrero de 2018, cuando un nene de 7 años murió mientras manejaba un cuatriciclo en la playa Costa Esmeralda, a 13 kilómetros de Pinamar, y fue embestido por otro cuatriciclo de mayor cilindrada, conducido por un joven de 23 años. 

Fue la tercera muerte en poco más de un mes en esa temporada por el manejo desregulado de cuatriciclos en los médanos de la costa atlántica.

Tras la reiteración de accidentes mortales, el Gobierno nacional modificó la ley de tránsito a través de un DNU, por lo que los cuatriciclos comenzaron a ser considerados ""vehículo automotor"", con obligación de patentamiento, uso de casco, licencia especial y verificación técnica vehicular (VTV). 

En febrero pasado, fueron tres los muertos por ese tipo de accidentes en la costa atlántica. En marzo, la comisión de Seguridad de la Cámara de Diputados avanzó en la firma de un dictamen de consenso para regularizar el uso de cuatriciclos y triciclos motorizados, que establece medidas de seguridad y requisitos que estos vehículos deberán cumplir para su circulación.

El texto introduce modificaciones a la Ley de Tránsito (24.449) con el fin de contemplar a estos vehículos. De acuerdo al proyecto, para manejar cuatriciclos se deberá contar con licencia de conducir ""clase A"", tendrán que poseer faros delanteros, luz para la patente trasera y luces intermitentes de emergencia. También, y al igual que las motos, para poder circular en este tipo de vehículos sus ocupantes estarán obligados a llevar puestos cascos y estará prohibido conducirlos con ""una alcoholemia superior a 200 miligramos por litro de sangre"".Asimismo, se establece en 50 km/h la velocidad máxima permitida para este tipo de vehículos y resultará obligatorio el seguro y la VTV.",
43,Demandan al gobierno porteño por falta de vacantes para niños con discapacidad,2019-12-04,,Presentaron un amparo colectivo,<Response [200]>,"La Asociación Civil por la Igualdad y la Justicia (ACIJ) y la Clínica Jurídica de Interés Público y Derechos Humanos del Centro de Derechos Humanos (CDH) de la Facultad de Derecho de la Universidad de Buenos Aires presentaron un amparo colectivo contra el Ministerio de Educación porteño para que ""se adopten las medidas necesarias para evitar los rechazos de inscripción por motivos de discapacidad en escuelas comunes de gestión privada"". Dominique Steinbrecher, abogada del área de Discapacidad y Derechos Humanos de Acij, dijo a Página/12 que ""el objeto es que se declare inconstitucional la omisión del gobierno de monitorear, porque esto permite que las negativas sistemáticas de matriculación que reciben los niños y niñas se perpetúen"".

La acción colectiva tiene como finalidad revertir la inacción del ministerio de Educación que encabeza Soledad Acuña, que tiene entre sus funciones la de controlar a las escuelas para asegurar el acceso de las alumnas y de los alumnos con discapacidad a las escuelas comunes, tanto estatales como privadas, aunque en estas últimas habría un mayor grado de discrecionalidad.

Si bien los rechazos se presentan de diferentes formas, a veces de manera directa, otras más indirectas, el denominador común es la barrera que imponen a la niñez con discapacidad, que tiene derecho a educarse en escuelas comunes con el resto de las niñas, niños y adolescentes. Un derecho que viene garantizado por la Convención sobre los Derechos de las Personas con Discapacidad, que Argentina ratificó en el año 2008 y que goza de jerarquía constitucional desde 2014.

La falta de vacantes, cupo limitado, falta de personal especializado, que no es bueno enviar a niños con discapacidad a una escuela común, o directamente, y yendo contra lo que establece la ley, que ""no hacen inclusión"", son algunos de los pretextos que reciben de parte de las escuelas privadas las familias para negarles la matriculación, según detalló Steinbrecher.

Entre los testimonios de familiares de personas con discapacidad incluidos en la demanda colectiva, dos mamás relataron cómo a la hora de buscar vacantes para sus hijos tuvieron que recorrer, o llamar porque no le daban entrevista. En un caso 27 escuelas, y en el otro, entre 30 y 40, para escuchar los mismos argumentos de rechazo. 

""Lo que solicitamos en la demanda es que se condene al gobierno a adoptar medidas de acción para asegurar la educación, y en particular propusimos algunas acciones como establecer un protocolo de inscripción formal, que se adopten medidas de difusión sobre el derecho de las personas con discapacidad a acceder a las escuelas y que se determine cuáles son los órganos encargados de recibir los reclamos"", explicó la integrante de ACIJ. Y remarcó que ""uno puede recurrir a la Dirección de Educación Privada pero no hay mecanismos para dar cauce a esos reclamos"".

La falta de mecanismos transparentes a la hora de la inscripción, sumado a la falta de información, hace que muchas familias se vayan convencidas de que las escuelas no están obligadas a incluir a las niñas y niños con discapacidad, o que tienen cupo y se los están negando.







En este sentido, la demanda recuerda que la normativa nacional y local de CABA prohíbe el rechazo de la inscripción o reinscripción de un estudiante por motivos de discapacidad. A su vez, señala que ""los organismos internacionales de derechos humanos han sido contundentes en que todas las escuelas, incluidas las privadas, deben respetar el derecho a la educación inclusiva y que los Estados tienen la obligación indelegable de garantizar que efectivamente lo hagan"". Por estas razones, sostienen que la falta de fiscalización del estado porteño ""agrava las violaciones sistemáticas del derecho a la educación inclusiva"".",Nicolás Romero
44,Escuela Taller del Casco Histórico: la justicia suspendió la demolición,2019-12-04,,La escuela que le ganó al metrobús,<Response [200]>,"La justicia porteña suspendió la demolición de la Escuela Taller del Casco Histórico, que iba a ser tirada abajo para que pase el metrobús, hasta tanto no se garantice el traslado a otro edificio adecuado para el dictado de las clases, en condiciones de seguridad y con su correspondiente habilitación. La medida judicial, dictada a partir del amparo presentado por el Observatorio del Derecho a la Ciudad (ODC), ordenó al gobierno que comanda Horacio Rodríguez Larreta que no avance con la destrucción del inmueble ubicado en la avenida Brasil y Paseo Colón, en el barrio de san Telmo. La decisión fue festejada por la comunidad educativa, que no pierde la esperanza de quedarse en el edificio donde los estudiantes se forman en artes y oficios orientados a la conservación y restauración de bienes. 

La semana pasada, la titular del juzgado N°1 en lo Contencioso Administrativo y Tributario de la Ciudad de Buenos Aires, Romina Tesone, hizo lugar al amparo presentado por el ODC, docentes y estudiantes y frenó la demolición ""hasta tanto se encuentre efectivamente disponible otra sede para ser utilizada a tales fines o se dicte sentencia de fondo, lo que ocurra primero"".

En el recurso presentado ante la justicia, los amparistas señalaron la necesidad de que se les otorgue, de manera previa a la demolición del inmueble, un edificio de uso definitivo que se encuentre ubicado en el Caso Histórico de la Ciudad y cumpla, con las condiciones y dimensiones que actualmente tiene la Escuela que el gobierno quiere demoler para ampliar la traza del Metrobus del Bajo. 

""Le planteamos muchas veces al gobierno que no hace falta demoler la escuela porque a esa altura la avenida Paseo Colón es muy amplia, pero no hay instancia de diálogo ni voluntad política del gobierno por resolverlo"", explicó el titular del ODC, Jonatan Baldiviezo. 

En el mismo sentido, el profesor Alberto González, que dicta en la escuela el módulo ornamentación de frentes, dijo a Página/12 que ""nosotros queremos permanecer en el edificio, que está en perfectas condiciones. No hace falta demoler. Si el tema es el metrobús, con la magnitud que tiene Paseo Colón a esa altura, se puede hacer lo que se hizo con el metrobús en otras zonas, con una mano, como en la avenida Cabildo o en la 9 de Julio"".

El proyecto del traslado de la escuela, que está bajo la órbita de la Dirección de Casco Histórico, arrancó en 2016. Desde entonces, hubo distintas alternativas para mudar el edificio donde estudian alrededor de 400 alumnos: primero a una casa edificada en 1820, en Alsina y Defensa; después, al edificio del ex Padelai, en San Telmo, que tras ser restaurado alberga a la sede de la Comuna 1. Sin embargo, ninguno de estos planes se concretaron.

Gestiones anteriores del Casco Histórico habían solicitado un edificio en la calle Moreno 330, pero en 2018 se aprobó la venta de este edificio, que fue subastado el 1 de agosto de 2019 por 1.228.623. dólares.

El último plan incluía trasladar la escuela a un edificio que se iba a construir en el Distrito Gubernamental Parque de la Cultura, en el Parque España, en Barracas. Sin embargo, el plan tuvo su contratiempo: además del rechazo de los docentes, estudiantes y organizaciones civiles porque el destino estaba fuera del Casco Histórico, la 
justicia frenó la iniciativa por un amparo
 del ODC. El nuevo edificio se iba a levantar en un parque público sin autorización de la Legislatura.

El proyecto contemplaba avanzar con la demolición del edificio de Brasil y Paseo Colón, mientras tanto, hasta que se construyera el nuevo inmueble, la escuela sería trasladada de forma provisoria al edificio de la calle Alsina 963, donde se encuentra el Archivo de Partituras de la Banda Sinfónica de la Ciudad y la Dirección de Música.

En el ínterin, el Ejecutivo local envió a la Legislatura varios proyectos de ley para vender inmuebles de la Ciudad, que serán tratados este jueves, en la última sesión del año. Entre ellos estaba la orden de venta del inmueble de Alsina 963, que cuenta con protección patrimonial (Ley N° 3.547). 

El viernes pasado, por el reclamo de vecinos y trabajadores, durante la reunión de la comisión de Presupuesto el oficialismo retiró finalmente del listado una decena de inmuebles de la venta, entre ellos, los edificios de Curapaligüe al 500 y el de Alsina, donde funcionan las oficinas y talleres de la Dirección General de Música.

En este contexto de idas y vueltas, la jueza Tesone suspendió la demolición de la Escuela Taller porque no está asegurada su nueva ubicación: ""no existen constancias objetivas de las que se verifiquen que la institución se encontrará en condiciones de funcionar en el nuevo edificio propuesto por la demandada"". También señaló que el gobierno no dejó constancia administrativa de ""la que surja dónde funcionará la escuela"", y que al ""momento de dictar la resolución el inmueble propuesto para el traslado se encuentra ocupado"", y que el Estado no acreditó haber iniciado ""la contratación de obra para la puesta en condiciones del edificio de la calle Alsina"".

Como coletazo de esta situación, los y las trabajadoras de la Dirección de Música presentaron un amparo porque los van a trasladar al Edificio de La Prensa que, aseguran, no reúne las condiciones ambientales para proteger el Archivo de Partituras de la Banda Sinfónica ni garantiza las mismas condiciones laborales.",Nicolás Romero
45,Homofobia: a los latigazos porque se besaban,2019-12-04,,Ocurrió en una plaza de Villa Urquiza,<Response [200]>,"Dos jóvenes que se besaban en una plaza del barrio porteño de Villa Urquiza fueron agredidos a latigazos por un hombre en medio de un violento ataque de características homofóbicas.

El incidente, que se produjo en la noche del lunes en una plaza situada en Holmberg al 2500, en esa zona del norte de la Ciudad, terminó cuando uno de los integrantes de la pareja de hombres jóvenes, gracias a sus conocimientos de artes marciales, logró reducir al agresor. El otro integrante de la pareja recibió algunas heridas sangrantes de latigazos, sobre todo en las piernas, pero se encontraban en buen estado.

 ""Váyanse, son unos desubicados"", les gritaba el agresor, un hombre de unos 55 años, según contó Brian, un joven de 27 años que es uno de los damnificados, quien aseguró que denunciará el incidente ante el Instituto Nacional contra la Discriminación (INADI).  ""Nos exigía que nos vayamos porque estábamos haciendo algo asqueroso y que no teníamos derecho a estar en ese lugar juntos"", contó Brian.

Según explicó, se encontró en una segunda cita con Ariel, al que definió como una persona que está ""conociendo"", en un parque público y les llamó la atención la presencia de un hombre en una camioneta ""muy linda"" que le dio un abrazo a un nene de unos nueve años. ""Al rato esta persona volvió caminando con un látigo y un sombrero de paja"", recordó. Sostuvo que el hombre los empezó a atacar con el arma compuesta por paja trenzada, con una punta metálica, ""como si estuviéramos en el siglo pasado"".

 El joven logró defenderse y reducir al agresor: ""Cuando me quiso dar un segundo latigazo lo pude reducir, le apliqué una llave y lo tuve retenido en el piso durante 15 minutos. Yo quería que se lo lleve la Policía"", contó.

Ante la falta de intervención policial y que el ánimo del agresor parecía calmarse, Brian recibió una llamativa explicación del mismo agresor: dijo que su sobrino le había preguntado qué estaban haciendo y por qué se besaban dos hombres en la plaza. 

Cuando la Policía acudió al lugar, el atacante ya se había ido por lo que no fue detenido. ""Aparentemente se llama Héctor, conducía una Fiat Ducato de color blanca y violeta"", contó Brian, quien remarcó que el ataque homofóbico pudo haber tenido consecuencias más graves de no mediar sus conocimientos de defensa personal.",
46,Crimen de odio en la provincia,2019-12-04,Pablo Borsato recibió más de 60 cuchillazos. Era arquitecto y trabajaba en el área cultural y la diversidad. Hay un detenido.,Matan a puñaladas a un militante LGBT+ en Colón,<Response [200]>,"Pablo Fullana Borsato, un arquitecto de 36 años y militante LGBT+, fue encontrado sin vida, con más de 60 puñaladas en su cuerpo, en su casa de la ciudad de Colón, ubicada en el norte de la provincia de Buenos Aires. El asesinato se suma a la cifra de crímenes de odio cometidos en el país que, según el último informe publicado por el Observatorio Nacional de Crímenes de Odio, era de 68 muertes solo durante el primer semestre de 2019. Este miércoles, una marcha en esa ciudad reclamará justicia y el fin de la violencia contra la diversidad sexual.

Leonel Facio, el principal sospechoso, tiene 19 años y fue detenido horas antes de que el cuerpo apareciera luego de ser acusado por una mujer de 81 años de manosearla al tiempo que exhibía sus genitales. Cuando la policía peritó la casa de la víctima, corroboró que la forma de la suela de la zapatilla de Facio coincidía con las huellas que se encontraron en la escena. Además, el joven presentaba una corte en el dedo y manchas de sangre en la ropa. El acusado, que sigue detenido a la espera de ser indagado, presenta antecedentes de agresiones sexuales.

Borsato era oriundo de Colón. Arquitecto recibido por la Universidad de Rosario, desempeñó allí gran parte de su carrera artística y era ampliamente reconocido en el ambiente cultural de la ciudad santafesina. Además trabajaba junto al municipio de Colón en un proyecto denominado “Museo a Cielo Abierto”, un festival integral a orillas del lago en el que participarían diversos artistas locales. La fecha prevista para la inauguración del museo es el 19 de este mes, en el marco del “Festival de Arte y Cultura” de la ciudad. 

La víctima mantenía en su ciudad natal una activa militancia en el espacio LGBT+. Según contó a Página/12 Antonella, su compañera de militancia y amiga, “él había empezado a brindar mucho apoyo y ayuda de manera desinteresada al Colectivo de Colón. Era una persona muy valiosa, con una personalidad impresionante y un corazón de oro"".

La casa en la que apareció el cuerpo de Borsato fue encontrada en un desorden absoluto pero sin rastros de robo y, aunque la carátula por la que Facio está detenido es de “tentativa de abuso sexual, amenaza y homicidio”, la Federación Argentina LGBT sostiene que se trata de “otro crimen de odio por orientación sexual”. Por otro lado, el espacio LGBT+ de Colón agregó que esta muerte “refleja las fallas del sistema judicial y sus instituciones”.




Por esta razón, el espacio decidió convocar a una movilización para este miércoles a las 13. La concentración será frente al Museo de la Ciudad y luego la columna atravesará las calles de Colón para finalizar en la sede municipal. Antonella prevé que “será una protesta tranquila, en silencio, porque el silencio dice muchas cosas, dice dolor y tristeza.” Y convoca, además, a marchar “para no mirar más para otro lado porque esto le puede suceder a cualquiera”.",
47,Sarmiento: se levantó el paro,2019-12-04,,Después de una reunión de los ferroviarios en la Secretaría de Trabajo,<Response [200]>,"El paro del Tren Sarmiento se levantó en la tarde de este martes luego de una reunión que mantuvieron trabajadores de la línea ferroviaria con autoridades de la Secretaría de Trabajo de la Nación. Los empleados del ferrocarril, que une la estación porteña de Once con el partido bonaerense de Moreno, habían iniciado a la medianoche un paro por 24 horas para reclamar mejoras en las condiciones laborales.

La medida de fuerza había sido decidida el jueves de la semana pasada en una asamblea general del sector de jefas y jefes de estación, pero desde entonces no había existido una convocatoria de la compañía ni de la Secretaría de Trabajo para abrir una negociación. ""Se aceptó que el cuerpo de delegados esté en la discusión en el tema de un nuevo lugar para las compañeras. Hemos rechazado estos lugares (para las mujeres) ya que no están en condiciones"", dijo Rubén Sobrero, secretario general de la Unión Ferroviaria de la seccional del Oeste. Y agregó: ""el ministerio no llamó para la conciliación, hubo buena predisposición"".

La medida de fuerza se levantó este martes por la tarde pasadas las 17.",
